epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,8007.08,0.48697,0.69494,0.99568,0.68231,0.52027,0.61053,0.55083,0.51148,1.23478,0.94103,0.00208,0.00208,0.00208
82,8105.71,0.48211,0.68056,0.99331,0.66551,0.5275,0.60725,0.54777,0.51094,1.22649,0.94204,0.001981,0.001981,0.001981
83,8203.86,0.47225,0.65911,0.98648,0.67948,0.51411,0.60776,0.54793,0.51094,1.23582,0.94138,0.001882,0.001882,0.001882
84,8301.92,0.47928,0.66748,0.98857,0.6454,0.52926,0.60923,0.54924,0.50722,1.23019,0.93963,0.001783,0.001783,0.001783
85,8400.11,0.46699,0.64176,0.98654,0.67586,0.51296,0.61033,0.55153,0.50777,1.23549,0.94134,0.001684,0.001684,0.001684
86,8498.39,0.47124,0.64601,0.98381,0.67087,0.51874,0.6111,0.55338,0.50741,1.23656,0.93977,0.001585,0.001585,0.001585
87,8596.69,0.46382,0.63736,0.9842,0.67846,0.52412,0.61146,0.55417,0.50646,1.23363,0.93987,0.001486,0.001486,0.001486
88,8694.92,0.4596,0.6291,0.98272,0.65758,0.54382,0.61162,0.55348,0.50548,1.23441,0.93976,0.001387,0.001387,0.001387
89,8793.19,0.45647,0.61976,0.97722,0.70794,0.51137,0.61164,0.55347,0.50736,1.23553,0.94193,0.001288,0.001288,0.001288
90,8891,0.45356,0.61954,0.97915,0.72003,0.51094,0.61243,0.55325,0.50937,1.23883,0.94319,0.001189,0.001189,0.001189
91,8990.49,0.33464,0.29921,0.87872,0.70208,0.51809,0.60988,0.55084,0.51205,1.24211,0.94496,0.00109,0.00109,0.00109
92,9088.67,0.32728,0.29558,0.878,0.69082,0.51954,0.61048,0.55122,0.51163,1.24515,0.94438,0.000991,0.000991,0.000991
93,9186.49,0.32726,0.27764,0.87713,0.68943,0.52041,0.61085,0.55209,0.51065,1.24793,0.94469,0.000892,0.000892,0.000892
94,9284.3,0.31916,0.27123,0.87137,0.66093,0.5345,0.61042,0.552,0.50988,1.24362,0.94513,0.000793,0.000793,0.000793
95,9382.44,0.31545,0.26624,0.86956,0.68738,0.51544,0.60857,0.54973,0.5094,1.24347,0.94621,0.000694,0.000694,0.000694
96,9480.61,0.31297,0.2603,0.86985,0.71165,0.5036,0.60703,0.54831,0.50874,1.2457,0.94662,0.000595,0.000595,0.000595
97,9579.01,0.3118,0.25718,0.86658,0.64154,0.54049,0.60705,0.54875,0.50836,1.24774,0.94731,0.000496,0.000496,0.000496
98,9677,0.30834,0.25379,0.86845,0.64776,0.5374,0.60632,0.54815,0.50781,1.24719,0.94782,0.000397,0.000397,0.000397
99,9775.34,0.30048,0.24864,0.86279,0.64552,0.54038,0.6085,0.55025,0.50762,1.24767,0.94877,0.000298,0.000298,0.000298
100,9873.61,0.29973,0.24105,0.8622,0.64906,0.53943,0.60851,0.55043,0.50782,1.24791,0.94983,0.000199,0.000199,0.000199
